snapshot_date,brand,market,source_url,url,home_key,community,address,lot,plan,status,price,prior_price,sqft,beds,baths,garage,incentive_text,raw_text,qa_flag,snapshot_file
2026-06-08,Trophy Signature Homes,Austin,https://trophysignaturehomes.com/homes/austin,https://trophysignaturehomes.com/homes/austin/elgin/trinity-ranch/186-hornet-street,d9206c4e900c6159e4,Trinity Ranch,"186 Hornet Street Elgin, TX 78621",,Pecan II,Available | Now,299990,,,,,,,"$299,990 | 186 Hornet Street | Elgin, TX 78621 | 3 | Beds | 2 | Baths | 1,612 | SQ FT | Available Date: | Now | Community | Trinity Ranch | Floor Plan | Pecan II | Trinity Ranch | View Detail | As low as | $2,256",,2026-06-08.csv
2026-06-08,Trophy Signature Homes,Austin,https://trophysignaturehomes.com/homes/austin,https://trophysignaturehomes.com/homes/austin/hutto/prairie-winds/109-malibu-bend,af4be05bda5ce8c3be,Prairie Winds,"109 Malibu Bend Hutto, TX 78634",,Diamond,Available | Now,363505,,,,,,,"$363,505 | 109 Malibu Bend | Hutto, TX 78634 | 3 | Beds | 2 | Baths | 1,840 | SQ FT | Available Date: | Now | Community | Prairie Winds | Floor Plan | Diamond | Prairie Winds | View Detail | As low as | $2,272",,2026-06-08.csv
2026-06-08,Trophy Signature Homes,Austin,https://trophysignaturehomes.com/homes/austin,https://trophysignaturehomes.com/homes/austin/hutto/prairie-winds/1002-universal-drive,289c4be273f087bbf6,Prairie Winds,"1002 Universal Drive Hutto, TX 78634",,Pearl,Available | Now,330990,379990.0,,,,,Price Cut | Savings Shown,"$330,990 | $379,990 | Save: | $49,000 | 1002 Universal Drive | Hutto, TX 78634 | 4 | Beds | 2 | .5 | Baths | 2,183 | SQ FT | Available Date: | Now | Community | Prairie Winds | Floor Plan | Pearl | Prairie Winds | View Detail | As low as | $2,105",,2026-06-08.csv
2026-06-08,Trophy Signature Homes,Houston,https://trophysignaturehomes.com/homes/houston,https://trophysignaturehomes.com/homes/houston/huffman/riviera-pines/1246-minorca-street,d5980de47ffc6d3f10,Riviera Pines,"1246 Minorca Street Huffman, TX 77336",,Magnolia,Available | Now,249990,265900.0,,,,,Price Cut | Savings Shown,"$249,990 | $265,900 | Save: | $15,910 | 1246 Minorca Street | Huffman, TX 77336 | 4 | Beds | 2 | .5 | Baths | 2,055 | SQ FT | Available Date: | Now | Community | Riviera Pines | Floor Plan | Magnolia | View Detail | As low as | $2,087",,2026-06-08.csv
2026-06-08,CB JENI Homes,DFW,https://cbjenihomes.com/find-your-home/?price=any&bedrooms=any&bathrooms=any&stories=any&city=any&school=any&floorplan=any&payment=any&size=any&quick=true,https://cbjenihomes.com/communities/painted-tree/2837-maidenhair-lane-mckinney-tx-75071/,f4a4ee34428d93bb8e,Painted Tree - Village District,"2837 Maidenhair Lane McKinney, TX 75071","Building 9, Lot 2",Emily,Move-In Ready | Ready Now,373430,403430.0,2189.0,3.0,2.5,2.0,Price Cut | SPACIOUS KITCHEN,"Painted Tree - Village District | 2837 Maidenhair Lane McKinney, TX 75071 | Emily | Move-In Ready | Ready Now | Price 373430 | Was 403430 | Building 9, Lot 2 | SPACIOUS KITCHEN",,2026-06-08.csv
2026-06-08,CB JENI Homes,DFW,https://cbjenihomes.com/find-your-home/?price=any&bedrooms=any&bathrooms=any&stories=any&city=any&school=any&floorplan=any&payment=any&size=any&quick=true,https://cbjenihomes.com/communities/painted-tree/2825-bluejack-road-mckinney-tx-75071/,f6177ee623677fe2b9,Painted Tree - Village District,"2825 Bluejack Road McKinney, TX 75071","Building 24, Lot 1",Tatum,Move-In Ready | Ready Now,399090,432090.0,2367.0,3.0,2.5,2.0,Price Cut | CORNER UNIT,"Painted Tree - Village District | 2825 Bluejack Road McKinney, TX 75071 | Tatum | Move-In Ready | Ready Now | Price 399090 | Was 432090 | Building 24, Lot 1 | CORNER UNIT",,2026-06-08.csv
2026-06-08,CB JENI Homes,DFW,https://cbjenihomes.com/find-your-home/?price=any&bedrooms=any&bathrooms=any&stories=any&city=any&school=any&floorplan=any&payment=any&size=any&quick=true,https://cbjenihomes.com/communities/the-village-at-midtowne/1041-magdalena-way-midlothian-tx-76065/,fe030228d48ff275b8,The Village at Midtowne,"1041 Magdalena Way Midlothian, TX 76065","Building 8, Lot 1",Tatum,Under Construction | Ready Now,373240,,2307.0,3.0,2.5,2.0,,"The Village at Midtowne | 1041 Magdalena Way Midlothian, TX 76065 | Tatum | Under Construction | Ready Now | Price 373240 | Was 0 | Building 8, Lot 1",,2026-06-08.csv
2026-06-08,CB JENI Homes,DFW,https://cbjenihomes.com/find-your-home/?price=any&bedrooms=any&bathrooms=any&stories=any&city=any&school=any&floorplan=any&payment=any&size=any&quick=true,https://cbjenihomes.com/communities/cbj-city-point/7325-grant-avenue-north-richland-hills-tx-76180/,401fcd56244c8c7d38,City Point,"7325 Grant Avenue North Richland Hills, TX 76180","Building 23, Lot 3",Hampton,Under Construction | Ready July,359810,364810.0,1750.0,3.0,2.5,2.0,Price Cut,"City Point | 7325 Grant Avenue North Richland Hills, TX 76180 | Hampton | Under Construction | Ready July | Price 359810 | Was 364810 | Building 23, Lot 3",,2026-06-08.csv
2026-06-08,CB JENI Homes,DFW,https://cbjenihomes.com/find-your-home/?price=any&bedrooms=any&bathrooms=any&stories=any&city=any&school=any&floorplan=any&payment=any&size=any&quick=true,https://cbjenihomes.com/communities/cbj-city-point/7336-grant-avenue-north-richland-hills-tx-76180/,33629064b0fc3fcf35,City Point,"7336 Grant Avenue North Richland Hills, TX 76180","Building 21, Lot 3",Hampton,Under Construction | Ready August,364030,,1671.0,3.0,2.5,2.0,,"City Point | 7336 Grant Avenue North Richland Hills, TX 76180 | Hampton | Under Construction | Ready August | Price 364030 | Was 0 | Building 21, Lot 3",,2026-06-08.csv
2026-06-08,Normandy Homes,DFW,https://normandyhomes.com/find-your-home/?bathrooms=any&bedrooms=any&city=any&payment=any&price=any&quick=true&size=any&stories=any,https://normandyhomes.com/communities/cross-creek-meadows-55-series/1213-beebalm-mews-celina-tx-75009/,1b3cb977017a39e917,,"309 Walker Parkway Celina, TX 75009",,,Ready Now,455000,519105.0,,4.0,,,Price Cut | New Lower Price,"309 Walker Parkway | Celina, TX 75009 | Ready Now | 2,808 Sq. Ft. | 4 Beds | 3 & 1 Half Baths | 2 Stories | 2 Car Garage | $455,000 | $504,270 | View Listing | New Lower Price | Virtual Tour | Corsica | at | Cross Creek Meadows | 1125 Saltbrush Mews | Celina, TX 75009 | Ready Now | 2,815 Sq. Ft. | 3 Beds | 3 & 1 Half Baths | 2 Stories | 2 Car Garage | $469,105 | $519,105 | View Listing | New Lower Price | Virtual Tour | Genevieve | at | Hazelwood 55' Series",,2026-06-08.csv
