week,period_start,period_end,snapshot_date,segment,active,added_this_week,removed_sold_proxy,net_change,status
Week 1,2026-04-24,2026-04-30,2026-04-30,Total tracked,363,0,0,0,captured
Week 1,2026-04-24,2026-04-30,2026-04-30,Southgate Homes,15,0,0,0,captured
Week 1,2026-04-24,2026-04-30,2026-04-30,Trophy Signature Homes,348,N/A,N/A,N/A,captured
Week 1,2026-04-24,2026-04-30,2026-04-30,CB JENI Homes,0,N/A,N/A,N/A,no_rows
Week 1,2026-04-24,2026-04-30,2026-04-30,Normandy Homes,0,N/A,N/A,N/A,no_rows
Week 1,2026-04-24,2026-04-30,2026-04-30,Centre Living Homes,0,N/A,N/A,N/A,no_rows
Week 1,2026-04-24,2026-04-30,2026-04-30,The Providence Group,0,N/A,N/A,N/A,no_rows
Week 1,2026-04-24,2026-04-30,2026-04-30,GHO Homes,0,N/A,N/A,N/A,no_rows
Week 2,2026-05-01,2026-05-07,2026-05-07,Total tracked,347,38,54,-16,captured
Week 2,2026-05-01,2026-05-07,2026-05-07,Southgate Homes,14,1,2,-1,captured
Week 2,2026-05-01,2026-05-07,2026-05-07,Trophy Signature Homes,333,37,52,-15,captured
Week 2,2026-05-01,2026-05-07,2026-05-07,CB JENI Homes,0,N/A,N/A,N/A,no_rows
Week 2,2026-05-01,2026-05-07,2026-05-07,Normandy Homes,0,N/A,N/A,N/A,no_rows
Week 2,2026-05-01,2026-05-07,2026-05-07,Centre Living Homes,0,N/A,N/A,N/A,no_rows
Week 2,2026-05-01,2026-05-07,2026-05-07,The Providence Group,0,N/A,N/A,N/A,no_rows
Week 2,2026-05-01,2026-05-07,2026-05-07,GHO Homes,0,N/A,N/A,N/A,no_rows
Week 3,2026-05-08,2026-05-14,2026-05-14,Total tracked,690,87,51,+36,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,Southgate Homes,14,1,1,0,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,Trophy Signature Homes,374,79,38,+41,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,CB JENI Homes,47,1,1,0,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,Normandy Homes,63,1,3,-2,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,Centre Living Homes,30,3,0,+3,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,The Providence Group,127,2,6,-4,captured
Week 3,2026-05-08,2026-05-14,2026-05-14,GHO Homes,35,0,2,-2,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,Total tracked,670,48,68,-20,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,Southgate Homes,15,1,0,+1,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,Trophy Signature Homes,354,32,52,-20,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,CB JENI Homes,51,9,5,+4,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,Normandy Homes,62,3,4,-1,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,Centre Living Homes,31,2,1,+1,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,The Providence Group,122,1,6,-5,captured
Week 4,2026-05-15,2026-05-21,2026-05-21,GHO Homes,35,0,0,0,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,Total tracked,663,64,71,-7,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,Southgate Homes,14,0,1,-1,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,Trophy Signature Homes,347,27,34,-7,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,CB JENI Homes,50,6,7,-1,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,Normandy Homes,61,7,8,-1,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,Centre Living Homes,38,15,8,+7,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,The Providence Group,117,6,11,-5,captured
Week 5,2026-05-22,2026-05-28,2026-05-28,GHO Homes,36,3,2,+1,captured
Week 6,2026-05-29,2026-06-04,2026-06-04,Total tracked,654,58,67,-9,captured
